company_id,user_id,company_name,industry,website,contact_name,contact_phone
cfd379fe-5bdc-4892-ad9d-bd22e47541a0,62275e2b-8f68-4072-ad98-4856f86b6701,Vinamilk,Dairy & FMCG,https://vinamilk.com.vn,Nguyễn Văn An,0901234567
576e5780-4b3c-4a7c-ba10-2916f55b2bf4,d79d2401-e4b4-4858-9df3-1a6f58a9ad05,TH True Milk,Dairy,https://thmilk.vn,Trần Thị Bình,0912345678
cb15683a-468c-44e1-8400-8d0137ba872e,a2e7413a-6252-47d6-8f38-3bfdf51d0cb5,Highlands Coffee,F&B,https://highlandscoffee.com.vn,Lê Hoàng Cường,0923456789
135a0f28-a39f-437d-9843-d992b337fdcc,6f0246a6-5550-456f-80ef-a5197f404a96,Phúc Long,F&B,https://phuclong.com.vn,Phạm Minh Duy,0934567890
4d78221c-b371-44f8-addb-5d4df433fde3,2b2346ba-3d92-48eb-99a4-a8aea0d1d6b8,Sunhouse,Home Appliances,https://sunhouse.com.vn,Hoàng Thị Nga,0945678901
c133252d-1177-4f05-83c3-4def2ac04ea8,ed41bc1e-4407-405a-9053-8f53d7e9b4c3,Bitis,Footwear & Fashion,https://bitis.com.vn,Võ Quốc Hùng,0956789012
0c6affa5-1feb-4f47-b79c-24b0ac50abcc,adec7b3a-412a-4bfa-982b-e9a2324d78bb,CellphoneS,Electronics Retail,https://cellphones.com.vn,Đỗ Thanh Linh,0967890123
34ee5216-6473-4782-9539-b5bc58869554,73b4563b-d293-4887-96ea-d53654fd158e,Thế Giới Di Động,Electronics Retail,https://thegioididong.com,Bùi Minh Phát,0978901234
bcc39c5a-3c03-4ac8-8b33-e895fb7181af,fd418d70-4726-4809-8885-499bc6e7ecd1,FPT Shop,Electronics Retail,https://fptshop.com.vn,Ngô Anh Tuấn,0989012345
5fc2a897-37c1-45ee-becb-5389b5eb7795,81243cd7-0a89-4a0e-b6de-ca99cd983ba9,Coolmate,Fashion E-commerce,https://coolmate.me,Trịnh Đức Hải,0990123456
676d11fe-ed03-4c17-b20b-e92bb29af065,f0f83fac-d969-4528-b17e-0e3d12983ec4,Dentsu One Vietnam,Advertising,https://dentsuone.vn,Lê Thanh Hằng,0281234567
bc650c32-fc92-4259-bd61-75c0e75d7d4c,c069ecaf-279a-4ba9-8a70-64598e7b492e,Leo Burnett Vietnam,Creative Agency,https://leoburnett.vn,Trần Quốc Vũ,0282345678
8a7a5c45-4d68-4419-8ee3-d176eea09b5b,d0dcd863-ce8b-4261-95cb-03a557cf3376,Ogilvy Vietnam,Full Service,https://ogilvy.vn,Nguyễn Thu Hà,0283456789
73d28542-ed48-494b-a3f7-b53e37c53e8a,4c607316-2193-480e-b42d-ffa57e8739ff,Publicis Groupe VN,Media,https://publicisgroupe.vn,Phạm Đức Long,0284567890
15ee69a2-bb5e-41df-831c-a97afdee9594,3b5de7f0-c942-44b1-9654-e38710833852,We Are Social VN,Social Media,https://wearesocial.vn,Võ Minh Anh,0285678901
6e1e0dd7-a372-49ac-b09e-f93da862d566,e50a7060-6e0f-466b-a31b-fc874566a945,ADS Vietnam,Digital Ads,https://adsvietnam.vn,Đỗ Hải Nam,0286789012
7ff9aeab-957b-4287-9e47-59369916d408,f1812291-efc1-4972-91e2-2588101f5660,Creative Juice,Production,https://creativejuice.vn,Bùi Thị Liên,0287890123
a93a85ab-fe89-41fb-997e-4af9d6faa277,0091924c-b773-4c2a-a64d-a49f0babc108,Red Square VN,Branding,https://redsquare.vn,Hoàng Văn Đạt,0288901234
0154610b-d146-45e0-b6c7-0b1eeab1b101,b0b6a8e0-94b1-4d01-9d93-e6a983db6ddc,Fake Corp Ltd,Unknown,https://fakecorp.xyz,Nguyễn Giả Mạo,0000000000
ffa9f721-996c-5476-8dc5-ca3c8d459a31,42056198-b401-5f11-a6f3-0fcfc7af4961,GlowUp Beauty Co.,Beauty & Skincare,glowupbeauty.com,Sarah Johnson,+1-310-555-0192
c56f278c-235d-55b8-823c-7baa290f5369,d3c7da29-dd82-51d9-a268-46fb62f508aa,TechNest USA,Consumer Electronics,technestusa.com,Mike Chen,+1-408-555-0143
040a7724-a2cf-5841-a498-7d5d889eb837,a35ddc03-6ee6-5ba9-956a-641d640bcd38,Bloom Wellness,Health & Wellness,bloomwellness.co,Emily Davis,+1-212-555-0187
d3059448-fad6-5f09-990d-78e4dae0430e,d2ce75cb-8d22-504b-bbd1-59e758b8b1de,StyleForward,Fashion & Apparel,styleforward.com,Lena Torres,+1-786-555-0211
8b4af966-79b3-5141-b45d-0d5c27b9045a,6b3c8efa-0116-5c85-8f51-8b92129ad232,FreshFit Nutrition,Vitamins & Supplements,freshfitnutrition.com,James Walker,+1-646-555-0234
c2650db0-165b-5a42-a8ef-0ca98ef43b50,6cffbfec-4920-5431-9456-d9b0db2469a7,Starface US,Beauty & Skincare,starface.world,Madison Scott,+1-323-555-0178
5859b431-6569-5b48-a839-96b79ab16fdd,ac447e0d-b6b8-5af0-b0f9-11245d138e03,AquaGlow Skincare,Skincare & Wellness,aquaglowskin.com,Carlos Hernandez,+1-737-555-0145
4a4d6112-9e1f-5981-85fc-73d0724cc8af,ea2059cb-824a-5137-978a-cf4d04e4c078,Purity Beauty,Clean Beauty,puritybeauty.com,Olivia Martin,+1-510-555-0199
404d0d00-5dc0-5068-b754-c2feaa3de26a,7aa97c87-355d-5862-84ca-09e823b8ef77,LumiSkin Labs,Skincare Technology,lumiskinlabs.com,Ryan Nguyen,+1-415-555-0162
7b824aca-18bb-5d9b-92e1-add26bf402cf,b4f08e09-b98f-518d-a3be-e72b13bf23bf,GlamSnap Cosmetics,Makeup & Cosmetics,glamsnap.com,Amber Collins,+1-213-555-0117
2dbf90bc-491b-5c0b-9a4a-0ee9416f40a6,f8e98fce-1fc0-5573-b346-62f60057a968,Viral Agency Inc.,Marketing & Media,viralagency.com,Alex Kim,+1-213-555-0134
5b59f42b-61fc-585c-81fb-c4764a36e0f6,7ec1a7e3-6009-5c89-8e38-606a319a6a37,ContentCo US,Digital Marketing,contentco.us,Priya Patel,+1-312-555-0165
8166b73d-e72b-5478-b384-3f54c9da2e89,6f7b0857-7580-572c-aa46-429d9bcffc38,ShopBoost Media,E-commerce Marketing,shopboostmedia.com,Dan Wright,+1-305-555-0143
280e8c43-3590-55b3-a308-e65df44e84a3,15cf2530-5aaa-548f-becd-d55fb81aa8a6,KOL Connect US,Influencer Marketing,kolconnect.us,Jessica Moore,+1-917-555-0177
d1c2e957-fe52-5a2a-bda3-7e1abf045268,c9e538bd-7699-5449-96d0-4f5452cbcdd7,Creator Hub Inc.,Content & Creator Mgmt,creatorhub.io,Leo Castillo,+1-512-555-0189
db6c95de-f3eb-5b31-b4fd-70e0ffa21d21,4970df5d-1004-51e8-9ec2-5604347850fe,ByteBox Electronics,Consumer Electronics,bytebox.io,Chris Park,+1-408-555-0221
cd91d7b0-60da-54f3-8302-ebb077f8d67e,6068e33e-9128-5339-a175-30a1c87cc856,Zen Living Co.,Home & Lifestyle,zenliving.co,Amy Lin,+1-415-555-0235
f672b73b-fe2b-5bfc-86d4-78994a3e9ec2,fa27af9a-7e8f-5f0f-b06e-01475e0cf74b,CleanBeauty Club,Clean Beauty,cleanbeautyclub.com,Rachel Green,+1-310-555-0248
b0467b24-ce1f-547f-8b9f-9d74504eee89,b7ded801-e710-5c67-8499-d638d02a3e7d,TrendHaus Fashion,Fashion & Apparel,trendhausfashion.com,Max Weber,+1-646-555-0261
3be78b0e-6e4a-58bd-8f31-af9fcd521716,a3d46859-813a-5118-9934-a8de39342dcd,VitaBoost Health,Vitamins & Supplements,vitaboost.us,Lisa Chen,+1-415-555-0274
b6e1e6ff-e3b4-5a6d-bfc5-43a5b70f7297,79a62859-895a-5456-a900-6e6d8ab2ae8f,SmartHome Hub,Smart Home Tech,smarthomehub.io,Tom Bradley,+1-206-555-0287
b6b79b43-a9f3-52c6-9ba2-59a98c277729,9c781566-152a-5a04-84a8-1168ec90e868,ClearDerm Co.,Skincare & Dermatology,cleardermskin.com,Hannah White,+1-713-555-0300
5092e234-9ada-5240-ac14-b993df1946b2,0d098032-e0e1-57ce-ae66-597b44f2ac90,ActiveEdge Sports,Fitness & Activewear,activeedgesports.com,Marcus Johnson,+1-404-555-0313
da186447-7b64-5316-8941-be1db5c708e0,6aa442a7-1674-5786-8993-e26614df5800,Nourish Kitchen,Food & Grocery,nourishkitchen.co,Sofia Martinez,+1-617-555-0326
0d1c816f-7d5a-5885-b704-81b80453410b,cfa12e1c-9bdd-5808-9047-78f18c6f3558,DeviceDen Tech,Mobile Accessories,devicedentech.io,Kevin Zhao,+1-650-555-0339
72dc726c-5378-5490-a85d-7d4fe9051488,c885e00f-1dd3-509d-a600-59c9f408d734,CozyNest Home,Home Décor,cozynesthome.com,Claire Adams,+1-615-555-0352
95c7641a-294e-5a5c-9f4f-38f7c82f2580,0d0bfa26-1b32-58a9-9e62-7813ea150c5e,PureFuel Wellness,Nutrition & Wellness,purefuelwellness.co,Derek Ross,+1-480-555-0365
9be47570-0347-5202-b737-0818f242982f,29f88a38-c35a-50b8-9b73-86ebf6d31853,StyleBox Apparel,Fashion & Subscription,styleboxapparel.com,Nina Foster,+1-818-555-0378
22dd88e5-0c09-5471-aea5-4f8c9a040d15,315f5ba1-6ef9-5eb4-bf65-873691aeb57f,BrightLife Beauty,Premium Beauty,brightlifebeauty.com,Owen Parker,+1-214-555-0391
3db3270d-1a16-592b-a04a-4371cff7e474,93954895-e697-5fa2-a475-d1cd8909bcb3,NovaTech Gadgets,Tech Gadgets & Accessories,novatech.io,Iris Chang,+1-503-555-0404
